# LogExposure,DensityR,DensityG,DensityB
-1.956863,0.223916,0.649258,0.870309
-1.929412,0.224356,0.649729,0.871123
-1.901961,0.224982,0.650372,0.872011
-1.874510,0.225760,0.651155,0.873040
-1.847059,0.226595,0.651967,0.874203
-1.819608,0.227495,0.652797,0.875313
-1.792157,0.228441,0.653629,0.876091
-1.764706,0.229395,0.654473,0.876577
-1.737255,0.230360,0.655363,0.877172
-1.709804,0.231339,0.656374,0.878274
-1.682353,0.232339,0.657527,0.879964
-1.654902,0.233365,0.658733,0.882125
-1.627451,0.234485,0.659953,0.884864
-1.600000,0.235734,0.661222,0.888387
-1.572549,0.236988,0.662511,0.892472
-1.545098,0.238091,0.663883,0.897073
-1.517647,0.239044,0.665450,0.902370
-1.490196,0.240058,0.667145,0.908265
-1.462745,0.241628,0.669215,0.914815
-1.435294,0.244257,0.672168,0.922337
-1.407843,0.247641,0.675815,0.930907
-1.380392,0.251608,0.680151,0.940571
-1.352941,0.256229,0.685411,0.951267
-1.325490,0.261283,0.691363,0.962917
-1.298039,0.266623,0.697840,0.975316
-1.270588,0.272496,0.704982,0.988231
-1.243137,0.279215,0.712896,1.001892
-1.215686,0.287123,0.721665,1.016329
-1.188235,0.296307,0.731310,1.031182
-1.160784,0.306438,0.741886,1.046614
-1.133333,0.317136,0.753321,1.062634
-1.105882,0.328207,0.765286,1.078830
-1.078431,0.339860,0.777831,1.095276
-1.050980,0.352165,0.790916,1.111988
-1.023529,0.364841,0.804298,1.128753
-0.996078,0.378090,0.818155,1.145625
-0.968627,0.391987,0.832567,1.162636
-0.941176,0.406072,0.847244,1.179674
-0.913725,0.420311,0.862282,1.196760
-0.886275,0.434764,0.877745,1.213910
-0.858824,0.449433,0.893356,1.231075
-0.831373,0.463923,0.908924,1.248236
-0.803922,0.477947,0.924330,1.265386
-0.776471,0.491873,0.939703,1.282535
-0.749020,0.505776,0.955080,1.299678
-0.721569,0.519658,0.970489,1.316808
-0.694118,0.533496,0.985949,1.333936
-0.666667,0.547388,1.001356,1.351064
-0.639216,0.561427,1.016627,1.368193
-0.611765,0.575552,1.031876,1.385321
-0.584314,0.589708,1.047124,1.402449
-0.556863,0.603855,1.062373,1.419572
-0.529412,0.617996,1.077621,1.436687
-0.501961,0.632144,1.092870,1.453860
-0.474510,0.646309,1.108109,1.471144
-0.447059,0.660501,1.123308,1.488451
-0.419608,0.674706,1.138535,1.505757
-0.392157,0.688908,1.153858,1.523064
-0.364706,0.703116,1.169204,1.540371
-0.337255,0.717352,1.184550,1.557677
-0.309804,0.731665,1.199895,1.574972
-0.282353,0.746268,1.215241,1.592187
-0.254902,0.760949,1.230587,1.609386
-0.227451,0.775443,1.245911,1.626662
-0.200000,0.789858,1.261046,1.644064
-0.172549,0.804257,1.276058,1.661487
-0.145098,0.818634,1.291062,1.678812
-0.117647,0.832930,1.306035,1.696031
-0.090196,0.847246,1.321010,1.713248
-0.062745,0.861723,1.336050,1.730559
-0.035294,0.876402,1.351145,1.747915
-0.007843,0.891191,1.366277,1.765274
0.019608,0.905990,1.381439,1.782624
0.047059,0.920787,1.396609,1.799958
0.074510,0.935601,1.411811,1.817292
0.101961,0.950448,1.427071,1.834649
0.129412,0.965425,1.442352,1.852071
0.156863,0.980430,1.457633,1.869544
0.184314,0.995298,1.472914,1.887041
0.211765,1.010004,1.488195,1.904565
0.239216,1.024662,1.503476,1.922093
0.266667,1.039379,1.518751,1.939587
0.294118,1.054109,1.533895,1.957057
0.321569,1.068902,1.548933,1.974522
0.349020,1.083875,1.563964,1.991992
0.376471,1.098929,1.578991,2.009468
0.403922,1.113983,1.594019,2.026953
0.431373,1.129037,1.609085,2.044454
0.458824,1.144091,1.624171,2.062060
0.486275,1.159145,1.639258,2.079718
0.513725,1.174199,1.654344,2.097301
0.541176,1.189267,1.669431,2.114824
0.568627,1.204369,1.684517,2.132341
0.596078,1.219523,1.699603,2.149850
0.623529,1.234755,1.714619,2.167351
0.650980,1.250050,1.729567,2.184850
0.678431,1.265382,1.744507,2.202353
0.705882,1.280723,1.759360,2.219903
0.733333,1.296067,1.774200,2.237476
0.760784,1.311421,1.789246,2.255001
0.788235,1.326781,1.804446,2.272439
0.815686,1.342143,1.819646,2.289836
0.843137,1.357507,1.834846,2.307258
0.870588,1.372881,1.850046,2.324715
0.898039,1.388262,1.865246,2.342183
0.925490,1.403642,1.880446,2.359665
0.952941,1.418931,1.895594,2.377171
0.980392,1.434178,1.910679,2.394706
1.007843,1.449576,1.925754,2.412264
1.035294,1.465157,1.940835,2.429873
1.062745,1.480778,1.955883,2.447525
1.090196,1.496391,1.970873,2.465156
1.117647,1.511981,1.985624,2.482691
1.145098,1.527571,2.000148,2.500167
1.172549,1.543158,2.014774,2.517704
1.200000,1.558738,2.029624,2.535357
1.227451,1.574312,2.044506,2.553080
1.254902,1.589878,2.059354,2.570869
1.282353,1.605429,2.074140,2.588704
1.309804,1.620963,2.088907,2.606550
1.337255,1.636500,2.103689,2.624392
1.364706,1.652046,2.118504,2.642226
1.392157,1.667606,2.133351,2.660049
1.419608,1.683205,2.148249,2.677832
1.447059,1.698869,2.163224,2.695506
1.474510,1.714585,2.178256,2.713067
1.501961,1.730302,2.193263,2.730642
1.529412,1.745978,2.208211,2.748295
1.556863,1.761635,2.223154,2.765957
1.584314,1.777309,2.238090,2.783625
1.611765,1.793081,2.253019,2.801293
1.639216,1.808985,2.267945,2.818967
1.666667,1.824878,2.282866,2.836688
1.694118,1.840650,2.297770,2.854482
1.721569,1.856359,2.312650,2.872314
1.749020,1.872089,2.327542,2.890150
1.776471,1.887904,2.342469,2.907966
1.803922,1.903796,2.357411,2.925772
1.831373,1.919762,2.372357,2.943579
1.858824,1.935831,2.387305,2.961459
1.886275,1.952010,2.402268,2.979498
1.913725,1.968167,2.417227,2.997516
1.941176,1.984203,2.432051,3.015320
1.968627,2.000162,2.446499,3.032857
