# LogExposure,DensityR,DensityG,DensityB
1.831373,1.703180,2.369225,2.571997
1.858824,1.712227,2.380766,2.583197
1.886275,1.720969,2.392072,2.593324
1.913725,1.729599,2.403001,2.603212
1.941176,1.737971,2.413381,2.612507
1.968627,1.745849,2.423388,2.621055
1.996078,1.753226,2.432852,2.629023
2.023529,1.760351,2.441965,2.636686
2.050980,1.767314,2.451077,2.644260
2.078431,1.774170,2.460189,2.651797
2.105882,1.780759,2.469256,2.659161
2.133333,1.787121,2.477745,2.666364
2.160784,1.793403,2.485927,2.673568
2.188235,1.799623,2.493987,2.680789
2.215686,1.805732,2.501903,2.687523
2.243137,1.811571,2.509678,2.694163
2.270588,1.817061,2.517161,2.700803
2.298039,1.822380,2.524559,2.707443
2.325490,1.827923,2.532034,2.713999
2.352941,1.833520,2.539527,2.720360
2.380392,1.838680,2.546636,2.726561
