# LogExposure,DensityR,DensityG,DensityB
1.858824,1.731062,2.393322,2.594178
1.886275,1.739774,2.404380,2.604301
1.913725,1.748435,2.415212,2.614049
1.941176,1.756971,2.425672,2.623213
1.968627,1.765027,2.435691,2.631578
1.996078,1.772470,2.445128,2.639410
2.023529,1.779686,2.454007,2.646822
2.050980,1.786765,2.462820,2.654260
2.078431,1.793711,2.471924,2.661891
2.105882,1.800454,2.480866,2.669523
2.133333,1.806929,2.488941,2.677154
2.160784,1.813278,2.496985,2.684773
2.188235,1.819559,2.505564,2.692054
2.215686,1.825593,2.513583,2.699005
2.243137,1.831333,2.521077,2.705840
2.270588,1.836889,2.528435,2.712733
2.298039,1.842394,2.535783,2.719660
2.325490,1.847935,2.543132,2.726573
2.352941,1.853539,2.550481,2.733418
2.380392,1.857848,2.556855,2.739251
