# LogExposure,DensityR,DensityG,DensityB
-1.956863,0.200742,0.616304,0.840092
-1.929412,0.200742,0.616304,0.842624
-1.901961,0.200742,0.616304,0.844997
-1.874510,0.200752,0.616304,0.847338
-1.847059,0.201375,0.616584,0.849695
-1.819608,0.202302,0.617393,0.851779
-1.792157,0.203157,0.618204,0.852430
-1.764706,0.204170,0.619029,0.852374
-1.737255,0.205391,0.619690,0.852374
-1.709804,0.206792,0.620307,0.852374
-1.682353,0.208244,0.621499,0.852374
-1.654902,0.209696,0.622820,0.852376
-1.627451,0.211148,0.623552,0.852486
-1.600000,0.212542,0.624279,0.852995
-1.572549,0.213463,0.625169,0.854402
-1.545098,0.214499,0.626095,0.856021
-1.517647,0.215760,0.627118,0.857820
-1.490196,0.217193,0.628296,0.859992
-1.462745,0.219008,0.630254,0.863490
-1.435294,0.221184,0.633003,0.868460
-1.407843,0.223842,0.636359,0.874898
-1.380392,0.226879,0.640501,0.882225
-1.352941,0.230358,0.645353,0.890275
-1.325490,0.234301,0.650680,0.899561
-1.298039,0.238829,0.656506,0.909844
-1.270588,0.243828,0.662984,0.920789
-1.243137,0.249569,0.670558,0.932396
-1.215686,0.256137,0.679245,0.944876
-1.188235,0.263788,0.688822,0.958507
-1.160784,0.272422,0.699187,0.973376
-1.133333,0.281742,0.710137,0.988838
-1.105882,0.291688,0.721876,1.004735
-1.078431,0.302058,0.734281,1.020843
-1.050980,0.312890,0.747180,1.037333
-1.023529,0.324343,0.760560,1.053859
-0.996078,0.336546,0.774620,1.070244
-0.968627,0.349545,0.789367,1.086691
-0.941176,0.363179,0.805023,1.103385
-0.913725,0.376928,0.820813,1.120083
-0.886275,0.390882,0.836603,1.136780
-0.858824,0.404697,0.852393,1.153478
-0.831373,0.417840,0.867977,1.170107
-0.803922,0.430842,0.882983,1.186504
-0.776471,0.444107,0.898048,1.202747
-0.749020,0.457330,0.913113,1.218991
-0.721569,0.470085,0.928093,1.235235
-0.694118,0.482941,0.943066,1.251475
-0.666667,0.496206,0.958039,1.267509
-0.639216,0.509679,0.973013,1.283365
-0.611765,0.523263,0.987854,1.299173
-0.584314,0.536934,1.002477,1.314925
-0.556863,0.550691,1.017085,1.330649
-0.529412,0.564582,1.031695,1.346293
-0.501961,0.578635,1.046400,1.361902
-0.474510,0.592763,1.061097,1.377510
-0.447059,0.606962,1.075707,1.393119
-0.419608,0.621404,1.090318,1.408701
-0.392157,0.636159,1.104928,1.424084
-0.364706,0.650782,1.119538,1.439615
-0.337255,0.665254,1.134216,1.455508
-0.309804,0.679900,1.148947,1.471071
-0.282353,0.694601,1.163765,1.486356
-0.254902,0.709302,1.178515,1.501799
-0.227451,0.724003,1.193031,1.517348
-0.200000,0.738553,1.207551,1.532761
-0.172549,0.752574,1.222184,1.548089
-0.145098,0.766826,1.236751,1.563367
-0.117647,0.781182,1.251186,1.578588
-0.090196,0.795405,1.265576,1.593986
-0.062745,0.809516,1.279864,1.609651
-0.035294,0.823880,1.294327,1.625391
-0.007843,0.838439,1.309193,1.641302
0.019608,0.853117,1.324245,1.657512
0.047059,0.867836,1.339309,1.674125
0.074510,0.882377,1.354367,1.691062
0.101961,0.896876,1.369411,1.708046
0.129412,0.911569,1.384558,1.724876
0.156863,0.926270,1.399819,1.741768
0.184314,0.940971,1.415074,1.759002
0.211765,0.955672,1.430319,1.776244
0.239216,0.970238,1.445505,1.793466
0.266667,0.984725,1.460512,1.810723
0.294118,0.999419,1.475691,1.828118
0.321569,1.014122,1.490958,1.845564
0.349020,1.028643,1.506137,1.862988
0.376471,1.043166,1.521280,1.880411
0.403922,1.057818,1.536488,1.898076
0.431373,1.072580,1.551743,1.915804
0.458824,1.087442,1.567052,1.933409
0.486275,1.102355,1.582405,1.951014
0.513725,1.117275,1.597614,1.968619
0.541176,1.132338,1.612736,1.986230
0.568627,1.147493,1.628113,2.004017
0.596078,1.162648,1.643572,2.021814
0.623529,1.177803,1.658747,2.039474
0.650980,1.192970,1.673890,2.057242
0.678431,1.208323,1.689188,2.075201
0.705882,1.223650,1.704552,2.093225
0.733333,1.238824,1.719979,2.111277
0.760784,1.254236,1.735406,2.129373
0.788235,1.269754,1.750833,2.147595
0.815686,1.285272,1.766261,2.165993
0.843137,1.300789,1.782018,2.184657
0.870588,1.316307,1.797842,2.203169
0.898039,1.331825,1.813402,2.221497
0.925490,1.347197,1.828853,2.239709
0.952941,1.361798,1.844140,2.257679
0.980392,1.376159,1.859047,2.275327
1.007843,1.390168,1.873480,2.292544
1.035294,1.403393,1.887592,2.309380
1.062745,1.416243,1.901605,2.326075
1.090196,1.428893,1.915485,2.342608
1.117647,1.441507,1.929270,2.359124
1.145098,1.454071,1.943070,2.375640
1.172549,1.466590,1.956903,2.392156
1.200000,1.478997,1.970977,2.408735
1.227451,1.491315,1.985362,2.425478
1.254902,1.503593,1.999665,2.442266
1.282353,1.515831,2.013913,2.459054
1.309804,1.528097,2.028160,2.475842
1.337255,1.540080,2.042407,2.492631
1.364706,1.551394,2.056655,2.509385
1.392157,1.562467,2.070902,2.526048
1.419608,1.573566,2.085069,2.542604
1.447059,1.584616,2.098972,2.559091
1.474510,1.595492,2.113005,2.575492
1.501961,1.606225,2.127071,2.591943
1.529412,1.616910,2.141136,2.608663
1.556863,1.627455,2.155202,2.625520
1.584314,1.637807,2.169226,2.642399
1.611765,1.648146,2.183175,2.659278
1.639216,1.658622,2.197272,2.676133
1.666667,1.668995,2.211466,2.693049
1.694118,1.679071,2.225450,2.710101
1.721569,1.689135,2.239294,2.727180
1.749020,1.699370,2.253068,2.744240
1.776471,1.709405,2.266737,2.761301
