# LogExposure,DensityR,DensityG,DensityB
-2.396078,0.172071,0.580757,0.854752
-2.368627,0.172120,0.580757,0.855414
-2.341176,0.172231,0.580757,0.855790
-2.313725,0.172372,0.580757,0.855782
-2.286275,0.172513,0.580827,0.856018
-2.258824,0.172654,0.581511,0.856567
-2.231373,0.172796,0.581957,0.856943
-2.203922,0.172937,0.582189,0.857225
-2.176471,0.173097,0.582220,0.857460
-2.149020,0.173324,0.582220,0.857653
-2.121569,0.173580,0.582220,0.858038
-2.094118,0.173877,0.582220,0.858671
-2.066667,0.174031,0.582220,0.859420
-2.039216,0.173946,0.582220,0.860213
-2.011765,0.173506,0.582220,0.860328
-1.984314,0.172991,0.582220,0.860277
-1.956863,0.172881,0.582220,0.860779
-1.929412,0.173039,0.582222,0.861608
-1.901961,0.173567,0.582360,0.862798
-1.874510,0.174470,0.582785,0.864267
-1.847059,0.175851,0.584106,0.866051
-1.819608,0.177790,0.586061,0.868442
-1.792157,0.180213,0.588289,0.871343
-1.764706,0.183177,0.590851,0.874494
-1.737255,0.186373,0.593619,0.877819
-1.709804,0.189685,0.596573,0.881430
-1.682353,0.193175,0.599806,0.885471
-1.654902,0.197144,0.603451,0.889918
-1.627451,0.201909,0.607749,0.894877
-1.600000,0.207155,0.612593,0.900317
-1.572549,0.212850,0.618209,0.906356
-1.545098,0.218964,0.624667,0.913073
-1.517647,0.225600,0.631951,0.920519
-1.490196,0.232893,0.639966,0.928661
-1.462745,0.240730,0.648885,0.937745
-1.435294,0.248994,0.658691,0.947632
-1.407843,0.258081,0.669407,0.958115
-1.380392,0.267751,0.680712,0.968970
-1.352941,0.277606,0.692511,0.980397
-1.325490,0.287623,0.704678,0.992251
-1.298039,0.298447,0.717510,1.004520
-1.270588,0.309934,0.730693,1.016969
-1.243137,0.321535,0.744059,1.029588
-1.215686,0.333302,0.757592,1.042336
-1.188235,0.345573,0.771446,1.055243
-1.160784,0.358643,0.785837,1.068515
-1.133333,0.372258,0.800742,1.082277
-1.105882,0.386449,0.816184,1.096462
-1.078431,0.401051,0.831987,1.110847
-1.050980,0.415884,0.848022,1.125302
-1.023529,0.430856,0.864314,1.139798
-0.996078,0.445860,0.880476,1.154496
-0.968627,0.460944,0.896316,1.169513
-0.941176,0.475861,0.912350,1.184447
-0.913725,0.490330,0.928661,1.199272
-0.886275,0.504990,0.944782,1.214138
-0.858824,0.519776,0.960748,1.229103
-0.831373,0.534457,0.976560,1.244320
-0.803922,0.549054,0.992287,1.259678
-0.776471,0.563916,1.008185,1.275080
-0.749020,0.578952,1.024179,1.290484
-0.721569,0.593752,1.040282,1.305888
-0.694118,0.608383,1.056392,1.321292
-0.666667,0.622772,1.072345,1.336452
-0.639216,0.636927,1.088186,1.351404
-0.611765,0.650875,1.103960,1.366383
-0.584314,0.664357,1.119686,1.381162
-0.556863,0.677409,1.135355,1.395556
-0.529412,0.690253,1.151079,1.409734
-0.501961,0.703018,1.166837,1.423872
-0.474510,0.715532,1.182597,1.437967
-0.447059,0.727859,1.198361,1.452015
-0.419608,0.740303,1.214080,1.466138
-0.392157,0.752814,1.229758,1.480433
-0.364706,0.765386,1.245443,1.494884
-0.337255,0.778058,1.261130,1.509474
-0.309804,0.790831,1.276985,1.524141
-0.282353,0.803953,1.293016,1.538963
-0.254902,0.817446,1.308779,1.554055
-0.227451,0.830942,1.324545,1.569460
-0.200000,0.844411,1.340470,1.585035
-0.172549,0.857950,1.356500,1.600708
-0.145098,0.871651,1.372614,1.616487
-0.117647,0.885379,1.388717,1.632201
-0.090196,0.899087,1.404764,1.647820
-0.062745,0.912773,1.420723,1.663425
-0.035294,0.926309,1.436376,1.679024
-0.007843,0.939942,1.452401,1.694351
0.019608,0.953700,1.468699,1.709614
0.047059,0.967234,1.484884,1.724876
0.074510,0.980730,1.500987,1.740139
0.101961,0.994226,1.516824,1.755402
0.129412,1.007723,1.532526,1.770664
0.156863,1.021269,1.548693,1.785927
0.184314,1.034847,1.564874,1.801190
0.211765,1.048265,1.581055,1.816385
0.239216,1.061712,1.597234,1.831583
0.266667,1.075279,1.612974,1.846992
0.294118,1.088846,1.628778,1.862575
0.321569,1.102413,1.644936,1.878247
0.349020,1.115972,1.661206,1.893976
0.376471,1.129458,1.677641,1.909771
0.403922,1.142972,1.693847,1.925769
0.431373,1.156561,1.709446,1.941997
0.458824,1.170029,1.725647,1.958115
0.486275,1.183342,1.742418,1.974151
0.513725,1.196776,1.758437,1.990037
0.541176,1.210284,1.774189,2.005820
0.568627,1.223902,1.790373,2.021947
0.596078,1.237550,1.806648,2.038148
0.623529,1.251057,1.823035,2.054292
0.650980,1.264549,1.839424,2.070374
0.678431,1.278144,1.855269,2.086070
0.705882,1.291665,1.871125,2.101776
0.733333,1.305091,1.887688,2.117761
0.760784,1.318516,1.903963,2.133701
0.788235,1.331942,1.919836,2.149600
0.815686,1.345380,1.935779,2.165498
0.843137,1.358901,1.951812,2.181397
0.870588,1.372351,1.967999,2.197284
0.898039,1.385777,1.984505,2.213103
0.925490,1.399207,2.000498,2.228890
0.952941,1.412635,2.016167,2.244642
0.980392,1.426013,2.032154,2.260346
1.007843,1.439359,2.048202,2.276024
1.035294,1.452713,2.064309,2.291767
1.062745,1.466068,2.080420,2.307531
1.090196,1.479322,2.096351,2.323192
1.117647,1.492351,2.112077,2.338765
1.145098,1.505232,2.127684,2.354259
1.172549,1.518060,2.143129,2.369511
1.200000,1.530864,2.158474,2.384545
1.227451,1.543610,2.173774,2.399622
1.254902,1.556212,2.189038,2.414743
1.282353,1.568652,2.204297,2.429887
1.309804,1.581014,2.219479,2.445070
1.337255,1.593349,2.234193,2.459855
1.364706,1.605639,2.248627,2.474271
1.392157,1.617780,2.263155,2.488739
1.419608,1.629561,2.277722,2.503225
1.447059,1.641134,2.292004,2.517465
1.474510,1.652307,2.305742,2.531010
1.501961,1.663020,2.319180,2.544062
1.529412,1.673405,2.332341,2.556773
1.556863,1.683613,2.345269,2.569287
1.584314,1.693579,2.358043,2.581620
1.611765,1.703293,2.370660,2.593702
1.639216,1.712903,2.382937,2.605565
1.666667,1.722420,2.394839,2.617158
1.694118,1.731702,2.406563,2.628394
1.721569,1.740551,2.418175,2.639291
1.749020,1.749089,2.429577,2.649942
1.776471,1.757493,2.440657,2.660394
1.803922,1.765800,2.451442,2.670657
1.831373,1.773984,2.462004,2.680592
1.858824,1.781903,2.472427,2.689981
1.886275,1.789521,2.482614,2.699196
1.913725,1.797011,2.492386,2.708471
1.941176,1.804269,2.501901,2.717475
1.968627,1.811208,2.511343,2.725544
1.996078,1.817982,2.520544,2.733348
2.023529,1.824662,2.529362,2.741413
2.050980,1.831240,2.538042,2.749444
2.078431,1.837591,2.546681,2.757178
2.105882,1.843698,2.554978,2.764517
2.133333,1.849477,2.562553,2.771352
2.160784,1.854901,2.569839,2.777808
2.188235,1.860074,2.577025,2.784062
2.215686,1.865004,2.583836,2.789985
2.243137,1.869810,2.590465,2.795774
2.270588,1.874437,2.597004,2.801454
2.298039,1.879020,2.603499,2.807097
2.325490,1.883672,2.609884,2.812851
2.352941,1.888341,2.616231,2.818667
2.380392,1.892848,2.622687,2.824036
